start_time,end_time,exercise_title,set_index,weight_kg,reps
"15 Dec 2024, 14:29","15 Dec 2024, 15:48",Incline Bench Press (Dumbbell),0,24,8
"15 Dec 2024, 14:29","15 Dec 2024, 15:48",Incline Bench Press (Dumbbell),1,28,5
"15 Dec 2024, 14:29","15 Dec 2024, 15:48",Incline Bench Press (Dumbbell),2,32,6
"15 Dec 2024, 14:29","15 Dec 2024, 15:48",Incline Bench Press (Dumbbell),3,30,8
"15 Dec 2024, 14:29","15 Dec 2024, 15:48",Incline Bench Press (Dumbbell),4,28,9
"15 Dec 2024, 14:29","15 Dec 2024, 15:48",Iso-Lateral Row (Machine),0,40,6
"15 Dec 2024, 14:29","15 Dec 2024, 15:48",Iso-Lateral Row (Machine),1,35,8
"15 Dec 2024, 14:29","15 Dec 2024, 15:48",Iso-Lateral Row (Machine),2,35,7
"15 Dec 2024, 14:29","15 Dec 2024, 15:48",Iso-Lateral Row (Machine),3,25,3
"15 Dec 2024, 14:29","15 Dec 2024, 15:48",Iso-Lateral Chest Press (Machine),0,36.8,9
"15 Dec 2024, 14:29","15 Dec 2024, 15:48",Iso-Lateral Chest Press (Machine),1,36.8,7
"15 Dec 2024, 14:29","15 Dec 2024, 15:48",Iso-Lateral Chest Press (Machine),2,34.3,6
"15 Dec 2024, 14:29","15 Dec 2024, 15:48",Iso-Lateral Chest Press (Machine),3,31.6,2
"15 Dec 2024, 14:29","15 Dec 2024, 15:48",Lat Pulldown - Close Grip (Cable),0,73,9
"15 Dec 2024, 14:29","15 Dec 2024, 15:48",Lat Pulldown - Close Grip (Cable),1,68.3,8
"15 Dec 2024, 14:29","15 Dec 2024, 15:48",Lat Pulldown - Close Grip (Cable),2,68.3,8
"15 Dec 2024, 14:29","15 Dec 2024, 15:48",Pullover (Dumbbell),0,16,12
"15 Dec 2024, 14:29","15 Dec 2024, 15:48",Pullover (Dumbbell),1,16,12
"15 Dec 2024, 14:29","15 Dec 2024, 15:48",Pullover (Dumbbell),2,16,10
"13 Dec 2024, 13:52","13 Dec 2024, 15:05",Bicep Curl (Dumbbell),0,10,10
"13 Dec 2024, 13:52","13 Dec 2024, 15:05",Bicep Curl (Dumbbell),1,18,9
"13 Dec 2024, 13:52","13 Dec 2024, 15:05",Bicep Curl (Dumbbell),2,18,7
"13 Dec 2024, 13:52","13 Dec 2024, 15:05",Bicep Curl (Dumbbell),3,14,3
"13 Dec 2024, 13:52","13 Dec 2024, 15:05",Bayesian Cable Curl,0,11.3,10
"13 Dec 2024, 13:52","13 Dec 2024, 15:05",Bayesian Cable Curl,1,11.3,10
"13 Dec 2024, 13:52","13 Dec 2024, 15:05",Hammer Curl (Cable),0,19.25,12
"13 Dec 2024, 13:52","13 Dec 2024, 15:05",Hammer Curl (Cable),1,19.25,10
"13 Dec 2024, 13:52","13 Dec 2024, 15:05",Triceps Pushdown,0,38.3,7
"13 Dec 2024, 13:52","13 Dec 2024, 15:05",Triceps Pushdown,1,36,9
"13 Dec 2024, 13:52","13 Dec 2024, 15:05",Triceps Pushdown,2,36,8
"13 Dec 2024, 13:52","13 Dec 2024, 15:05",Triceps Extension (Cable),0,22.5,10
"13 Dec 2024, 13:52","13 Dec 2024, 15:05",Triceps Extension (Cable),1,22.5,9
"13 Dec 2024, 13:52","13 Dec 2024, 15:05",Triceps Extension (Cable),2,22.5,9
"13 Dec 2024, 13:52","13 Dec 2024, 15:05",Rear Delt Reverse Fly (Cable),0,8,12
"13 Dec 2024, 13:52","13 Dec 2024, 15:05",Rear Delt Reverse Fly (Cable),1,8,9
"13 Dec 2024, 13:52","13 Dec 2024, 15:05",Single Arm Lateral Raise (Cable),0,9,8
"13 Dec 2024, 13:52","13 Dec 2024, 15:05",Single Arm Lateral Raise (Cable),1,6.8,3
"13 Dec 2024, 13:52","13 Dec 2024, 15:05",Single Arm Lateral Raise (Cable),2,8,11
"13 Dec 2024, 13:52","13 Dec 2024, 15:05",Single Arm Lateral Raise (Cable),3,8,10
"11 Dec 2024, 15:39","11 Dec 2024, 16:25",Single Arm Lateral Raise (Cable),0,9,7
"11 Dec 2024, 15:39","11 Dec 2024, 16:25",Single Arm Lateral Raise (Cable),1,6.8,3
"11 Dec 2024, 15:39","11 Dec 2024, 16:25",Single Arm Lateral Raise (Cable),2,6.8,12
"11 Dec 2024, 15:39","11 Dec 2024, 16:25",Single Arm Lateral Raise (Cable),3,6.8,11
"11 Dec 2024, 15:39","11 Dec 2024, 16:25",Rear Delt Reverse Fly (Cable),0,8,11
"11 Dec 2024, 15:39","11 Dec 2024, 16:25",Rear Delt Reverse Fly (Cable),1,8,8
"11 Dec 2024, 15:39","11 Dec 2024, 16:25",Rear Delt Reverse Fly (Cable),2,6.8,3
"11 Dec 2024, 15:39","11 Dec 2024, 16:25",Leg Extension (Machine),0,45,8
"11 Dec 2024, 15:39","11 Dec 2024, 16:25",Leg Extension (Machine),1,73,12
"11 Dec 2024, 15:39","11 Dec 2024, 16:25",Leg Extension (Machine),2,73,11
"11 Dec 2024, 15:39","11 Dec 2024, 16:25",Leg Press (Machine),0,40,10
