start_time,end_time,exercise_title,set_index,weight_kg,reps
"3 Dec 2024, 13:04","3 Dec 2024, 14:56",Bench Press (Barbell),0,40,8
"3 Dec 2024, 13:04","3 Dec 2024, 14:56",Bench Press (Barbell),1,60,11
"3 Dec 2024, 13:04","3 Dec 2024, 14:56",Bench Press (Barbell),2,62.5,6
"3 Dec 2024, 13:04","3 Dec 2024, 14:56",Bench Press (Barbell),3,60,6
"3 Dec 2024, 13:04","3 Dec 2024, 14:56",Lat Pulldown - Close Grip (Cable),0,45,8
"3 Dec 2024, 13:04","3 Dec 2024, 14:56",Lat Pulldown - Close Grip (Cable),1,59,9
"3 Dec 2024, 13:04","3 Dec 2024, 14:56",Lat Pulldown - Close Grip (Cable),2,54.3,9
"3 Dec 2024, 13:04","3 Dec 2024, 14:56",Lat Pulldown - Close Grip (Cable),3,52,9
"3 Dec 2024, 13:04","3 Dec 2024, 14:56",Incline Bench Press (Dumbbell),0,24,7
"3 Dec 2024, 13:04","3 Dec 2024, 14:56",Incline Bench Press (Dumbbell),1,22,8
"3 Dec 2024, 13:04","3 Dec 2024, 14:56",Incline Bench Press (Smith Machine),0,41.3,9
"3 Dec 2024, 13:04","3 Dec 2024, 14:56",Iso-Lateral Row (Machine),0,45,11
"3 Dec 2024, 13:04","3 Dec 2024, 14:56",Seated Row (Machine),0,52,12
"3 Dec 2024, 13:04","3 Dec 2024, 14:56",Seated Row (Machine),1,52,12
"3 Dec 2024, 13:04","3 Dec 2024, 14:56",Pullover (Dumbbell),0,12,12
"3 Dec 2024, 13:04","3 Dec 2024, 14:56",Pullover (Dumbbell),1,14,10
"3 Dec 2024, 13:04","3 Dec 2024, 14:56",Pullover (Dumbbell),2,14,10
"2 Dec 2024, 17:04","2 Dec 2024, 18:22",Bicep Curl (Dumbbell),0,12,6
"2 Dec 2024, 17:04","2 Dec 2024, 18:22",Bicep Curl (Dumbbell),1,14,10
"2 Dec 2024, 17:04","2 Dec 2024, 18:22",Bicep Curl (Dumbbell),2,14,9
"2 Dec 2024, 17:04","2 Dec 2024, 18:22",Bayesian Cable Curl,0,10.2,10
"2 Dec 2024, 17:04","2 Dec 2024, 18:22",Bayesian Cable Curl,1,10.2,7
"2 Dec 2024, 17:04","2 Dec 2024, 18:22",Hammer Curl (Dumbbell),0,12,10
"2 Dec 2024, 17:04","2 Dec 2024, 18:22",Hammer Curl (Dumbbell),1,12,9
"2 Dec 2024, 17:04","2 Dec 2024, 18:22",Triceps Pushdown,0,11.3,10
"2 Dec 2024, 17:04","2 Dec 2024, 18:22",Triceps Pushdown,1,24.8,15
"2 Dec 2024, 17:04","2 Dec 2024, 18:22",Triceps Pushdown,2,31.5,6
"2 Dec 2024, 17:04","2 Dec 2024, 18:22",Triceps Pushdown,3,27,3
"2 Dec 2024, 17:04","2 Dec 2024, 18:22",Triceps Pushdown,4,27,9
"2 Dec 2024, 17:04","2 Dec 2024, 18:22",Triceps Extension (Cable),0,20.3,13
"2 Dec 2024, 17:04","2 Dec 2024, 18:22",Triceps Extension (Cable),1,22.5,11
"2 Dec 2024, 17:04","2 Dec 2024, 18:22",Triceps Extension (Cable),2,22.5,10
"2 Dec 2024, 17:04","2 Dec 2024, 18:22",Rear Delt Reverse Fly (Cable),0,4.5,11
"2 Dec 2024, 17:04","2 Dec 2024, 18:22",Rear Delt Reverse Fly (Cable),1,4.5,10
"2 Dec 2024, 17:04","2 Dec 2024, 18:22",Lateral Raise (Machine),0,45,12
"2 Dec 2024, 17:04","2 Dec 2024, 18:22",Lateral Raise (Machine),1,50,9
"2 Dec 2024, 17:04","2 Dec 2024, 18:22",Lateral Raise (Machine),2,41,3
"2 Dec 2024, 17:04","2 Dec 2024, 18:22",Lateral Raise (Machine),3,50,6
"2 Dec 2024, 17:04","2 Dec 2024, 18:22",Lateral Raise (Machine),4,41,5
"27 Nov 2024, 14:04","27 Nov 2024, 15:00",Lat Pulldown (Cable),0,52,10
"27 Nov 2024, 14:04","27 Nov 2024, 15:00",Lat Pulldown (Cable),1,66,9
"27 Nov 2024, 14:04","27 Nov 2024, 15:00",Lat Pulldown (Cable),2,66,5
"27 Nov 2024, 14:04","27 Nov 2024, 15:00",Lat Pulldown (Cable),3,59,2
"27 Nov 2024, 14:04","27 Nov 2024, 15:00",Lat Pulldown (Cable),4,52,10
"27 Nov 2024, 14:04","27 Nov 2024, 15:00",Iso-Lateral Row (Machine),0,59,7
"27 Nov 2024, 14:04","27 Nov 2024, 15:00",Iso-Lateral Row (Machine),1,52,3
"27 Nov 2024, 14:04","27 Nov 2024, 15:00",Iso-Lateral Row (Machine),2,52,11
"27 Nov 2024, 14:04","27 Nov 2024, 15:00",Iso-Lateral Row (Machine),3,52,8
"27 Nov 2024, 14:04","27 Nov 2024, 15:00",Rear Delt Reverse Fly (Machine),0,45,9
"27 Nov 2024, 14:04","27 Nov 2024, 15:00",Rear Delt Reverse Fly (Machine),1,45,7
"27 Nov 2024, 14:04","27 Nov 2024, 15:00",Rear Delt Reverse Fly (Machine),2,39,9
"27 Nov 2024, 14:04","27 Nov 2024, 15:00",Triceps Pushdown,0,27,10
"27 Nov 2024, 14:04","27 Nov 2024, 15:00",Triceps Pushdown,1,64,7
"27 Nov 2024, 14:04","27 Nov 2024, 15:00",Triceps Pushdown,2,59,7
"27 Nov 2024, 14:04","27 Nov 2024, 15:00",Triceps Pushdown,3,54,7
"27 Nov 2024, 14:04","27 Nov 2024, 15:00",Triceps Extension (Cable),0,43.3,9
"27 Nov 2024, 14:04","27 Nov 2024, 15:00",Triceps Extension (Cable),1,43.3,7
"25 Nov 2024, 16:39","25 Nov 2024, 17:45",Bench Press (Barbell),0,40,10
"25 Nov 2024, 16:39","25 Nov 2024, 17:45",Bench Press (Barbell),1,60,10
"25 Nov 2024, 16:39","25 Nov 2024, 17:45",Bench Press (Barbell),2,60,8
"25 Nov 2024, 16:39","25 Nov 2024, 17:45",Bench Press (Barbell),3,60,4
"25 Nov 2024, 16:39","25 Nov 2024, 17:45",Butterfly (Pec Deck),0,66,12
"25 Nov 2024, 16:39","25 Nov 2024, 17:45",Butterfly (Pec Deck),1,66,7
"25 Nov 2024, 16:39","25 Nov 2024, 17:45",Butterfly (Pec Deck),2,59,2
"25 Nov 2024, 16:39","25 Nov 2024, 17:45",Butterfly (Pec Deck),3,59,5
"25 Nov 2024, 16:39","25 Nov 2024, 17:45",Iso-Lateral Chest Press (Machine),0,29.3,9
"25 Nov 2024, 16:39","25 Nov 2024, 17:45",Iso-Lateral Chest Press (Machine),1,29.3,4
"25 Nov 2024, 16:39","25 Nov 2024, 17:45",Iso-Lateral Chest Press (Machine),2,26.8,7
"25 Nov 2024, 16:39","25 Nov 2024, 17:45",Bicep Curl (Dumbbell),0,14,12
"25 Nov 2024, 16:39","25 Nov 2024, 17:45",Bicep Curl (Dumbbell),1,14,8
"25 Nov 2024, 16:39","25 Nov 2024, 17:45",Reverse Curl (Cable),0,11.3,13
"25 Nov 2024, 16:39","25 Nov 2024, 17:45",Reverse Curl (Cable),1,13.5,12
"25 Nov 2024, 16:39","25 Nov 2024, 17:45",Hammer Curl (Dumbbell),0,12,12
"25 Nov 2024, 16:39","25 Nov 2024, 17:45",Hammer Curl (Dumbbell),1,12,10
"20 Nov 2024, 12:12","20 Nov 2024, 13:11",Lat Pulldown (Cable),0,52,10
"20 Nov 2024, 12:12","20 Nov 2024, 13:11",Lat Pulldown (Cable),1,66,8
"20 Nov 2024, 12:12","20 Nov 2024, 13:11",Lat Pulldown (Cable),2,59,7
"20 Nov 2024, 12:12","20 Nov 2024, 13:11",Lat Pulldown (Cable),3,52,8
"20 Nov 2024, 12:12","20 Nov 2024, 13:11",Seated Cable Row - Bar Wide Grip,0,52,9
"20 Nov 2024, 12:12","20 Nov 2024, 13:11",Seated Cable Row - Bar Wide Grip,1,47.3,9
"20 Nov 2024, 12:12","20 Nov 2024, 13:11",Rear Delt Reverse Fly (Machine),0,45,9
"20 Nov 2024, 12:12","20 Nov 2024, 13:11",Rear Delt Reverse Fly (Machine),1,45,8
"20 Nov 2024, 12:12","20 Nov 2024, 13:11",Seated Row (Machine),0,66,2
"20 Nov 2024, 12:12","20 Nov 2024, 13:11",Seated Row (Machine),1,59,9
"20 Nov 2024, 12:12","20 Nov 2024, 13:11",Seated Row (Machine),2,59,10
"20 Nov 2024, 12:12","20 Nov 2024, 13:11",Triceps Pushdown,0,27,10
"20 Nov 2024, 12:12","20 Nov 2024, 13:11",Triceps Pushdown,1,64,8
"20 Nov 2024, 12:12","20 Nov 2024, 13:11",Triceps Pushdown,2,59,9
"20 Nov 2024, 12:12","20 Nov 2024, 13:11",Triceps Extension (Cable),0,43.3,11
"20 Nov 2024, 12:12","20 Nov 2024, 13:11",Triceps Extension (Cable),1,43.3,9
"18 Nov 2024, 16:11","18 Nov 2024, 17:07",Hack Squat (Machine),0,47.6,10
"18 Nov 2024, 16:11","18 Nov 2024, 17:07",Hack Squat (Machine),1,97.6,12
"18 Nov 2024, 16:11","18 Nov 2024, 17:07",Hack Squat (Machine),2,107.6,8
"18 Nov 2024, 16:11","18 Nov 2024, 17:07",Hack Squat (Machine),3,113.6,6
"18 Nov 2024, 16:11","18 Nov 2024, 17:07",Romanian Deadlift (Barbell),0,60,8
"18 Nov 2024, 16:11","18 Nov 2024, 17:07",Romanian Deadlift (Barbell),1,100,5
"18 Nov 2024, 16:11","18 Nov 2024, 17:07",Seated Leg Curl (Machine),0,53.1,13
"18 Nov 2024, 16:11","18 Nov 2024, 17:07",Seated Leg Curl (Machine),1,0.59,14
"18 Nov 2024, 16:11","18 Nov 2024, 17:07",Seated Leg Curl (Machine),2,0.66,10
"17 Nov 2024, 12:46","17 Nov 2024, 14:04",Incline Bench Press (Dumbbell),0,16,10
"17 Nov 2024, 12:46","17 Nov 2024, 14:04",Incline Bench Press (Dumbbell),1,26,8
"17 Nov 2024, 12:46","17 Nov 2024, 14:04",Incline Bench Press (Dumbbell),2,26,7
"17 Nov 2024, 12:46","17 Nov 2024, 14:04",Incline Bench Press (Dumbbell),3,24,9
"17 Nov 2024, 12:46","17 Nov 2024, 14:04",Supine Press,0,30,11
"17 Nov 2024, 12:46","17 Nov 2024, 14:04",Supine Press,1,30,11
"17 Nov 2024, 12:46","17 Nov 2024, 14:04",Supine Press,2,32.5,8
"17 Nov 2024, 12:46","17 Nov 2024, 14:04",Butterfly (Pec Deck),0,66,6
"17 Nov 2024, 12:46","17 Nov 2024, 14:04",Butterfly (Pec Deck),1,59,3
"17 Nov 2024, 12:46","17 Nov 2024, 14:04",Butterfly (Pec Deck),2,59,8
"17 Nov 2024, 12:46","17 Nov 2024, 14:04",Butterfly (Pec Deck),3,59,7
"17 Nov 2024, 12:46","17 Nov 2024, 14:04",Butterfly (Pec Deck),4,52,2
"17 Nov 2024, 12:46","17 Nov 2024, 14:04",Reverse Curl (Cable),0,27,16
"17 Nov 2024, 12:46","17 Nov 2024, 14:04",Reverse Curl (Cable),1,32,10
"17 Nov 2024, 12:46","17 Nov 2024, 14:04",Bicep Curl (Dumbbell),0,14,10
"17 Nov 2024, 12:46","17 Nov 2024, 14:04",Bicep Curl (Dumbbell),1,14,8
"17 Nov 2024, 12:46","17 Nov 2024, 14:04",Seated Incline Curl (Dumbbell),0,12,8
"17 Nov 2024, 12:46","17 Nov 2024, 14:04",Seated Incline Curl (Dumbbell),1,12,7
"17 Nov 2024, 12:46","17 Nov 2024, 14:04",Single Arm Lateral Raise (Cable),0,14,8
"17 Nov 2024, 12:46","17 Nov 2024, 14:04",Single Arm Lateral Raise (Cable),1,11.3,9
"17 Nov 2024, 12:46","17 Nov 2024, 14:04",Single Arm Lateral Raise (Cable),2,9,12
"14 Nov 2024, 12:21","14 Nov 2024, 13:38",Seated Leg Curl (Machine),0,25,10
"14 Nov 2024, 12:21","14 Nov 2024, 13:38",Seated Leg Curl (Machine),1,54.3,10
"14 Nov 2024, 12:21","14 Nov 2024, 13:38",Seated Leg Curl (Machine),2,54.3,5
"14 Nov 2024, 12:21","14 Nov 2024, 13:38",Seated Leg Curl (Machine),3,47.3,5
